Question,Category
عملت سونار للغده و كان حجمها صغير عن الطبيعي و تحليل الدم يقول هناك خمول هل صغر حجمها له اسباب خطيره او ان الامر طبيعي بسبب الخمول,الباطنة والغدد الصماء
ما هو علاج الليفوبينيا المطلقة وهل له علاقة بانتفاخ الخصية .. ارجو الاجابة,المسالك البولية
ما اسباب وجود نقط سوداء كثيرة في الاسنان,طب وصحة الأسنان
وجود ريحه في بول طفله عمرها ٤ شهور ونصف,صحة الطفل
"اخي عمره 21 سنة وهو قبل سنتين وهو يعالج من ثناءي القطب..
اريد ان اسءلكم عن ارتعاش يديه، فحينما يحمل شيء بيده ترتعش/بدون حمل اي شيء نلاحض قلييل من الارتعاش...",الأمراض العصبية
انا أعاني من ضعف نظر وانا طالب ما اشوف السبورة عن بعد يجب ان اقترب اليها ولكن عندما أشد عيني الي جهة الإذن مثل (الصينين) ارى السبورة وكل شئ مكتوب...,طب العيون
هل الزنك آمن مع الروكتان ؟ يعني هل استطيع اخذ الزنك والروكتان معاً ؟,التغذية والدواء
اثار الخرابيش بالاظافر كان عندي 8 سنين ودلوقتي عندي 18 سنه ولسه في وشي ... تتشال بكريمات التقشير ولا الليزر .. ارجو الرد,الجلدية والتجميل
"عمري32 عام ام لطفلين أحدهما سنتين والآخر 6 اشهر الولاده كانت قيصرية للطفلين
اعاني من ظهور كتل صغيره منتشره في الصدر والظهر والجنبين وتحت الابط مولمه في الصدر بدون ضغط...",الأورام
ارتفاع ضغط الدماغ هل يعتبر من الامراض المزمنه والتي يصعب علاجها ،ام يتم علاجه في فتره قصيره؟,القلب والأوعية الدموية
مخاطر دواء ياسمين لتنظيم دورة,التغذية والدواء
ما هو الافضل لورم علي عصب السمع بحجم 30مم 55مم 40 مم التدخل الجراحي ام ممكن العلاج بجاما نايف؟,الأمراض العصبية
سلام الله عليكم . انا اعاني من فترة طويلة uric acjd ويوجد ورم في المفاصل وحصل اكياس زلاليه والان اوجاع مبرحه وفي لبنان تجارة الدواءكثيره واكثرها مزور ولن اصل لنتيجه...,العظام والمفاصل
